01  CENTRO**01-01 PALACIO**Línea**1**-3.7120966**40.4106847**AGUAS, CALLE, DE LAS,4
01  CENTRO**01-01 PALACIO**Línea**1**-3.7123367**40.4109307**AGUAS, CALLE, DE LAS,10
01  CENTRO**01-01 PALACIO**Línea**1**-3.7176225**40.4111908**ALGECIRAS, CALLE, DE,3
01  CENTRO**01-01 PALACIO**Línea**1**-3.7173063**40.41115**ALGECIRAS, CALLE, DE,6
01  CENTRO**01-01 PALACIO**Línea**3**-3.7108951**40.4191252**ARRIETA, CALLE, DE,11
01  CENTRO**01-01 PALACIO**Línea**1**-3.7086616**40.4153772**CAVA DE SAN MIGUEL, CALLE, DE LA,5
01  CENTRO**01-01 PALACIO**Batería**1**-3.7087458**40.4113505**CEBADA, PLAZA, DE LA,2
01  CENTRO**01-01 PALACIO**Línea**1**-3.7095054**40.4113086**CEBADA, PLAZA, DE LA,6
01  CENTRO**01-01 PALACIO**Batería**1**-3.7096071**40.4114399**CEBADA, PLAZA, DE LA,7
01  CENTRO**01-01 PALACIO**Línea**1**-3.7087716**40.4160911**COMANDANTE LAS MORENAS, PLAZA, DEL,1
01  CENTRO**01-01 PALACIO**Línea**2**-3.7116302**40.4164376**CRUZADA, CALLE, DE LA,3
01  CENTRO**01-01 PALACIO**Línea**1**-3.7151376**40.4085007**DESCARGAS, CUESTA, DE LAS,10
01  CENTRO**01-01 PALACIO**Línea**1**-3.7113888**40.4200803**ENCARNACION, CALLE, DE LA,4
01  CENTRO**01-01 PALACIO**Línea**1**-3.7094158**40.4173776**ESCALINATA, CALLE, DE LA,15
01  CENTRO**01-01 PALACIO**Línea**1**-3.7100747**40.4223659**FLOR BAJA, CALLE, DE LA,6
01  CENTRO**01-01 PALACIO**Línea**1**-3.7147143**40.4120364**GABRIEL MIRO, PLAZA, DE,5
01  CENTRO**01-01 PALACIO**Batería**1**-3.7150743**40.4118956**GABRIEL MIRO, PLAZA, DE,8
01  CENTRO**01-01 PALACIO**Línea**1**-3.7112672**40.4157575**JUAN DE HERRERA, CALLE, DE,1
01  CENTRO**01-01 PALACIO**Línea**1**-3.7108962**40.4227558**LEGANITOS, CALLE, DE,43
01  CENTRO**01-01 PALACIO**Batería**2**-3.7139398**40.4149911**MAYOR, CALLE,81
01  CENTRO**01-01 PALACIO**Línea**1**-3.7143159**40.4127142**MORERIA, CALLE, DE LA,17
01  CENTRO**01-01 PALACIO**Batería**1**-3.7110096**40.41155**PUERTA DE MOROS, PLAZA, DE LA,7
01  CENTRO**01-01 PALACIO**Línea**1**-3.7144602**40.4094419**ROSARIO, CALLE, DEL,15
01  CENTRO**01-01 PALACIO**Línea**1**-3.7118323**40.4129753**SAN ANDRES, COSTANILLA, DE,10
01  CENTRO**01-01 PALACIO**Línea**1**-3.7145979**40.4111331**SAN BUENAVENTURA, CALLE, DE,2
01  CENTRO**01-01 PALACIO**Línea**1**-3.7134259**40.4107981**SAN FRANCISCO, CARRERA, DE,16
01  CENTRO**01-01 PALACIO**Línea**1**-3.7091379**40.4139201**SAN JUSTO, CALLE, DE,1
01  CENTRO**01-01 PALACIO**Línea**1**-3.7106286**40.4129564**SAN PEDRO, COSTANILLA, DE,6
01  CENTRO**01-01 PALACIO**Línea**1**-3.7092998**40.4207838**SANTO DOMINGO, PLAZA, DE,11
01  CENTRO**01-01 PALACIO**Línea**1**-3.7085825**40.4205639**SANTO DOMINGO, PLAZA, DE,14
01  CENTRO**01-01 PALACIO**Línea**1**-3.7128165**40.413951**SEGOVIA, CALLE, DE,24
01  CENTRO**01-01 PALACIO**Línea**1**-3.7151901**40.4138376**SEGOVIA, CALLE, DE,29
01  CENTRO**01-01 PALACIO**Línea**1**-3.7177732**40.4118441**SEGOVIA, RONDA, DE,15
01  CENTRO**01-01 PALACIO**Línea**1**-3.7169775**40.409272**SEGOVIA, RONDA, DE,47
01  CENTRO**01-01 PALACIO**Línea**1**-3.7162903**40.4086007**SEGOVIA, RONDA, DE,55
01  CENTRO**01-01 PALACIO**Línea**1**-3.7131904**40.4073875**SEGOVIA, RONDA, DE,85
01  CENTRO**01-01 PALACIO**Línea**1**-3.709952**40.4101427**SIERPE, CALLE, DE LA,4
01  CENTRO**01-01 PALACIO**Línea**1**-3.7074549**40.4207183**SILVA, CALLE, DE,6A
01  CENTRO**01-01 PALACIO**Línea**1**-3.7110151**40.4081274**TOLEDO, CALLE, DE,98
01  CENTRO**01-01 PALACIO**Línea**1**-3.7119583**40.4082446**VIRGEN DE LA PALOMA, PLAZA, DE LA,4
01  CENTRO**01-01 PALACIO**Línea**1**-3.7140303**40.4123882**YESEROS, CALLE, DE LOS,3
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7007513**40.4069521**AMPARO, CALLE, DE,91
01  CENTRO**01-02 EMBAJADORES**Batería**1**-3.7002909**40.4084019**ARGUMOSA, CALLE, DE,3
01  CENTRO**01-02 EMBAJADORES**Batería**1**-3.6995158**40.4082794**ARGUMOSA, CALLE, DE,9
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.696252**40.4074496**ARGUMOSA, CALLE, DE,28
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7031891**40.4139998**ATOCHA, CALLE, DE,19
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.6968444**40.4067167**ATOCHA, RONDA, DE,14
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7007254**40.4106671**AVE MARIA, CALLE, DEL,23
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7054094**40.4139211**CONCEPCION JERONIMA, CALLE, DE LA,15
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7046987**40.4135295**CONDE DE ROMANONES, CALLE, DEL,5
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.699161**40.4070298**DOCTOR FOURQUET, CALLE, DEL,35
01  CENTRO**01-02 EMBAJADORES**Línea**2**-3.6984586**40.4085431**DOCTOR PIGA, CALLE, DEL,7
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.6981909**40.4083927**DOCTOR PIGA, CALLE, DEL,11
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7064791**40.4137782**DUQUE DE RIVAS, CALLE, DEL,2
01  CENTRO**01-02 EMBAJADORES**Línea**2**-3.7065106**40.4101646**EMBAJADORES, CALLE, DE,12
01  CENTRO**01-02 EMBAJADORES**Línea**3**-3.7049186**40.4085773**EMBAJADORES, CALLE, DE,31
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7002452**40.4098916**ESCUADRA, CALLE, DE LA,12
